ID,Usable FIPS,Usable STATE
971222953214984192,37183.0,NORTH CAROLINA
940357405635903488,17057.0,ILLINOIS
107189322,47155.0,TENNESSEE
3976700894,48379.0,TEXAS
28467473,20155.0,KANSAS
2502951992,35043.0,NEW MEXICO
358545917,,CALIFORNIA
701188479305166848,,NEW MEXICO
960398836245114880,25023.0,MASSACHUSETTS
2940284602,48085.0,TEXAS
2276058562,23011.0,MAINE
20036021,,OHIO
27826609,,ILLINOIS
3277894616,21147.0,KENTUCKY
198690955,,NEW YORK
16012783,,NEW YORK
92117105,48453.0,TEXAS
734887434,,COLORADO
64063571,42043.0,PENNSYLVANIA
60705407,48279.0,TEXAS
530841955,39035.0,OHIO
744003214840832000,26073.0,MICHIGAN
414479382,13121.0,GEORGIA
1372786812,29039.0,MISSOURI
42909760,50007.0,VERMONT
223307971,48201.0,TEXAS
4197382225,,COLORADO
894279024373051392,48029.0,TEXAS
13516822,48279.0,TEXAS
1645920294,,NEW YORK
112838785,48169.0,TEXAS
803156599,33013.0,NEW HAMPSHIRE
46034054,,ILLINOIS
153334919,4003.0,ARIZONA
106817451,,FLORIDA
90107770,27061.0,MINNESOTA
2891647423,,NEW YORK
747284821454389248,39095.0,OHIO
48744935,6075.0,CALIFORNIA
65892374,17001.0,ILLINOIS
3330529277,26073.0,MICHIGAN
2499819697,48299.0,TEXAS
19243536,,NEW YORK
368544047,,TEXAS
389361952,,ILLINOIS
148800193,13121.0,GEORGIA
43640713,11001.0,"WASHINGTON, D.C."
393375338,27053.0,MINNESOTA
1187163943116120064,40151.0,OKLAHOMA
126955096,,OHIO
1189230952486227968,,ALABAMA
973941909507985408,,PENNSYLVANIA
918203460096548864,36047.0,NEW YORK
2871428607,,MICHIGAN
138476060,,TEXAS
282392990,22063.0,LOUISIANA
637138985,6059.0,CALIFORNIA
237192745,12095.0,FLORIDA
706535823584288768,,NEW YORK
2178656089,54027.0,WEST VIRGINIA
2789725419,,CALIFORNIA
1149577771179499520,11001.0,"WASHINGTON, D.C."
1057050372185997312,,MICHIGAN
73381015,36001.0,NEW YORK
890437578,48279.0,TEXAS
2815850443,12099.0,FLORIDA
3229802804,6037.0,CALIFORNIA
417963774,,COLORADO
187401672,41051.0,OREGON
1008671142201249792,36103.0,NEW YORK
10371822,25025.0,MASSACHUSETTS
295828237,,ARIZONA
234767581,12071.0,FLORIDA
1108067627266523136,53033.0,WASHINGTON
20704522,,NEW YORK
119994973,,RHODE ISLAND
554946277,,NEW YORK
44090607,48279.0,TEXAS
3290187430,36061.0,NEW YORK
3754600152,53033.0,WASHINGTON
1182579399184371712,6037.0,CALIFORNIA
419999701,48279.0,TEXAS
1082137450741420032,48083.0,TEXAS
2831103656,,TEXAS
46761557,,COLORADO
2234821933,6007.0,CALIFORNIA
973710333868064768,48279.0,TEXAS
126844122,11001.0,"WASHINGTON, D.C."
866741827,,OREGON
1131001202106408960,,INDIANA
847902248,,COLORADO
37014431,18169.0,INDIANA
780332433153593344,48131.0,TEXAS
17633608,36103.0,NEW YORK
18052474,,LOUISIANA
4795720633,27053.0,MINNESOTA
6529442,,KANSAS
19084896,54027.0,WEST VIRGINIA
2700394543,,IOWA
3303441890,12023.0,FLORIDA
3007311451,48167.0,TEXAS
190809029,12011.0,FLORIDA
79768881,18019.0,INDIANA
1104660124801646592,,ARIZONA
829087274084208640,48279.0,TEXAS
202231053,,LOUISIANA
1904533866,17031.0,ILLINOIS
2761388315,,NEW YORK
346782751,5045.0,ARKANSAS
371415053,,ILLINOIS
822824911370653696,,MISSOURI
3270266876,48113.0,TEXAS
1106632781914927104,51195.0,VIRGINIA
14763462,27053.0,MINNESOTA
19856969,56025.0,WYOMING
2239854152,,FLORIDA
36511031,6075.0,CALIFORNIA
40618367,48201.0,TEXAS
749772373,40095.0,OKLAHOMA
532046218,6059.0,CALIFORNIA
86316999,48113.0,TEXAS
2597363574,48279.0,TEXAS
621422144,47037.0,TENNESSEE
140154759,,ARIZONA
123542694,33013.0,NEW HAMPSHIRE
2696968765,,MARYLAND
14411304,6067.0,CALIFORNIA
805926449400152064,41051.0,OREGON
949452561756585984,12011.0,FLORIDA
22519240,17113.0,ILLINOIS
931223072262193152,,PENNSYLVANIA
537327467,6107.0,CALIFORNIA
840188797,,WISCONSIN
124115503,,ARIZONA
1072111235750117376,,NEW YORK
50075254,37135.0,NORTH CAROLINA
614774951,6111.0,CALIFORNIA
1639799851,39035.0,OHIO
2869696965,34025.0,NEW JERSEY
14709049,53033.0,WASHINGTON
2167144362,53033.0,WASHINGTON
3838767320,8001.0,COLORADO
810788174368804864,48279.0,TEXAS
2946033064,,ARIZONA
828485862459572224,,NEW YORK
551558882,17047.0,ILLINOIS
994564712565178368,11001.0,"WASHINGTON, D.C."
819809563,47157.0,TENNESSEE
3403937658,40151.0,OKLAHOMA
4903853565,,FLORIDA
2955682705,48341.0,TEXAS
2682919861,18095.0,INDIANA
